,name,lookup_value
9228,RUIZIA FRAGRANS WHOLE,MITCHELLA REPENS
9229,ULMUS UZBEKISTANICA WHOLE,CORIANDRUM SATIVUM
9230,SALVIA ROSMARINUS WHOLE,SENNA ALEXANDRINA
9231,NUPHAR LUTEA WHOLE,PSEUDOTSUGA MENZIESII
9232,MEDICAGO RETICULATA WHOLE,GUGGUL
9233,TANSY [HOC],CINNAMOMUM BURMANNI
9234,BRASSICA VESICARIA WHOLE,AFROHYBANTHUS ENNEASPERMUS
9235,GINKGO [HOC],NICOTIANA GLAUCA
9236,JUGLANS FILICIFOLIA WHOLE,ARTEMISIA ABSINTHIUM
9237,SCROPHULARIA UMBROSA DUMORT.,LIQUIDAMBAR STYRACIFLUA
9238,MAGNOLIA LACUNOSA WHOLE,ULMUS MINOR
9239,JUSSIAEA ALTISSIMA WHOLE,LEPIDIUM VIRGINICUM
9240,MIRABILIS AMBIGUA WHOLE,VERONICA CHAMAEDRYS
9241,IONIDIUM HEXASPERMUM WHOLE,TILIA AMERICANA
9242,MIRABILIS SUAVEOLENS WHOLE,CLINOPODIUM NEPETA
9243,CENTAUREA DALMATICA WHOLE,ACHILLEA MILLEFOLIUM
9244,MALAYAN GROUNDSEL WHOLE,CHIONANTHUS VIRGINICUS
9245,VITIS PRAECOX WHOLE,PANAX GINSENG
9246,MESOSPHAERUM SPICIGERUM WHOLE,SALIX BABYLONICA
9247,SWERTIA PSEUDOCHINENSIS [WHO-DD],OXALIS ACETOSELLA
9248,WINGED BUCKWHEAT WHOLE,CAPSELLA BURSA-PASTORIS
9249,RAPE WHOLE,GREWIA VILLOSA
9250,FRAGRANT BEDSTRAW WHOLE,NERIUM OLEANDER
9251,RUBUS EXEMPTUS WHOLE,RICINUS COMMUNIS
9252,PEAR-THORN WHOLE,ASPARAGUS RACEMOSUS
9253,AMOMUM VILLOSUM WHOLE,SALIX NIGRA
9254,ARUNDO VERSICOLOR WHOLE,TYPHA DOMINGENSIS
9255,ALOCASIA MARGINATA WHOLE,CHIONANTHUS VIRGINICUS
9256,VACCINIUM RAMULOSUM WHOLE,EUGENIA BIFLORA
9257,AMERICAN SYCAMORE WHOLE,OXALIS ACETOSELLA
9258,GLADIOLUS BUETTNERI WHOLE,RUBUS FLAGELLARIS
9259,CAPSELLA RUDERALIS WHOLE,COMMIPHORA MUKUL
9260,TYPHA PENDULA WHOLE,SALVIA MILTIORRHIZA
9261,BELOPERONE FULGIDA WHOLE,SOLANUM ANGUIVI
9262,TRIBULUS TERRESTRIS [WHO-DD],HIPPOPHAE SALICIFOLIA
9263,CLITORIA VIRGINIANA WHOLE,STACHYS BULLATA
9264,SABAL MINOR (JACQ.) PERS.,SASSAFRAS ALBIDUM
9265,ANGELICA LEVISTICUM WHOLE,RUBUS TRIVIALIS
9266,LAUREL CLOCK VINE WHOLE,VITIS ROTUNDIFOLIA
9267,BRASSICA OLERACEA VAR. OLERACEA WHOLE,BERBERIS ARISTATA
9268,GALIUM APARINE [HPUS],ALECTRA SESSILIFLORA
9269,CALAMINTHA FENZLII WHOLE,GYMNEMA LATIFOLIUM
9270,AGELAEA MACROCARPA WHOLE,QUERCUS LOBATA
9271,MAGNOLIA OFFICINALIS [WHO-DD],MITRACARPUS HIRTUS
9272,SISYMBRIUM ACRE WHOLE,PERSICARIA PUNCTATA
9273,FLOATING PRIMROSE-WILLOW WHOLE,SOLIDAGO ODORA
9274,HYBANTHUS NYASSENSIS WHOLE,TURMERIC
9275,OMONOIA CALIFORNICA WHOLE,GYMNEMA SYLVESTRE
9276,LIGUSTICUM FERULACEUM WHOLE,ACORUS CALAMUS
9277,ALLIUM MACROSTEMON [WHO-DD],ERYNGIUM FOETIDUM
9278,ALCEA ROSEA,CAPSELLA BURSA-PASTORIS
9279,POLYSTICTUS NIGRICANS WHOLE,KALANCHOE CRENATA
9280,SPREADING DAYFLOWER WHOLE,CAPSELLA BURSA-PASTORIS
9281,BIXA ODORATA WHOLE,SOLANUM ANGUIVI
9282,RUBUS FLORICOMUS WHOLE,PERSICARIA MACULOSA
9283,CASPAREA PORRECTA WHOLE,QUERCUS MACROCARPA
9284,DRYOBALANOPS AROMATICA [WHO-DD],ABIES ALBA
9285,MIRACLE GRASS WHOLE,FOMITOPSIS PINICOLA
9286,SWEET-FLAG WHOLE,DIGITALIS FERRUGINEA
9287,POLYGONUM PERSICARIA WHOLE,STILLINGIA SYLVATICA
9288,MONESES RETICULATA WHOLE,SALVIA PRATENSIS
9289,LAJJALU WHOLE,BACOPA MONNIERI
9290,ARUNDO BIFARIA WHOLE,ERUCA VESICARIA
9291,COTTON CUDWEED WHOLE,FRAXINUS AMERICANA
9292,POLYGONUM PUNCTATUM WHOLE,FICUS SAUSSUREANA
9293,FLOATING WATERHYACINTH WHOLE,BORAGO OFFICINALIS
9294,FLAXWEED WHOLE,EQUISETUM ARVENSE
9295,ARMENIACA PERSICIFOLIA WHOLE,QUERCUS GAMBELII
9296,MITESIA PUNCTATA WHOLE,CRATAEGUS LAEVIGATA
9297,CONYZA NATANS WHOLE,FUMARIA OFFICINALIS
9298,COMMON ASPARAGUS FERN WHOLE,PISTIA STRATIOTES
9299,ERIGERON STRIGOSUS MUHL. EX WILLD.,ACHILLEA MILLEFOLIUM
9300,ERYTHRAEA CENTAURIUM WHOLE,COLA NITIDA
9301,ROSE MALLOW WHOLE,MORINDA CITRIFOLIA
9302,LIGUSTICUM SIBIRICUM WHOLE,HYGROPHILA COSTATA
9303,RUDBECKIA HIRTA [WHO-DD],ARISTOTELIA CHILENSIS
9304,BIXA ORLEANA WHOLE,NERIUM OLEANDER
9305,SUMACUS COPALLINA WHOLE,SESELI LIBANOTIS
9306,CHINKAPIN WHOLE,MITRACARPUS HIRTUS
9307,GLADIOLUS FUSCOVIRIDIS WHOLE,CHRYSOJASMINUM FRUTICANS
9308,MOTHERWORT [EMA HERBAL SUBSTANCE],CAPSELLA BURSA-PASTORIS
9309,ZI MO LI WHOLE,YUCCA FILAMENTOSA
9310,NYMPHONA LUTEA WHOLE,GENTIANA LUTEA
9311,PATA-DE-VACA WHOLE,SENNA
9312,ESCHSCHOLZIA TENUISECTA WHOLE,CORDYCEPS
9313,HORSE-HEAL WHOLE,APIUM GRAVEOLENS
9314,LAURUS SUMATRENSIS WHOLE,ARTEMISIA HERBA-ALBA
9315,SCHOENOPLECTUS TABERNAEMONTANI (C.C.GMEL.) PALLA,SANGUINARIA CANADENSIS
9316,TEUCRIUM CHAMAEDRYS WHOLE,HAMAMELIS VIRGINIANA
9317,TECOMA VENUSTA WHOLE,SIDA SPINOSA
9318,DRABA RUDERALIS WHOLE,ACACIA DEALBATA
9319,HYPERICUM CRISPUM WHOLE,AFROHYBANTHUS ENNEASPERMUS
9320,TYPHA AEQUALIS WHOLE,LINARIA VULGARIS
9321,SENNA ITALICA,ERUCA VESICARIA
9322,NYMPHOZANTHUS SERICEUS WHOLE,JUNIPERUS OXYCEDRUS
9323,CHINESE WISTERIA WHOLE,RUBUS FLAGELLARIS
9324,DIPLOTAXIS ERUCOIDES WHOLE,NICOTIANA GLAUCA
9325,LELAH WHOLE,HAMAMELIS VIRGINIANA
9326,SONCHUS RUNCINATUS WHOLE,LACTUCA INDICA
9327,JUNIPERUS BEDFORDIANA WHOLE,LENS CULINARIS
9328,ANDROPOGON PREAMATURUS WHOLE,ANCHUSA OFFICINALIS
9329,ASPARAGUS ZEYLANICUS WHOLE,PISTIA STRATIOTES
9330,TRITICUM AESTIVUM,CURCUMA LONGA
9331,FICUS LEUCOCARPA WHOLE,GUGGUL
9332,TROPICAL SPIDERWORT WHOLE,GLADIOLUS DALENII
9333,DONAX BIFARIUS WHOLE,AMORPHA FRUTICOSA
9334,MARIANA LACTEA WHOLE,GERANIUM MACULATUM
9335,EPINE-VINETTE WHOLE,EUTERPE OLERACEA
9336,EUGENIA ALEXANDRI WHOLE,GANODERMA LUCIDUM
9337,TREFOIL TICKCLOVER WHOLE,TRIFOLIUM PRATENSE
9338,CAPPARIS SPINOSA L.,ERYTHRINA ABYSSINICA
9339,PAPAVER SOMNIFERUM WHOLE,ARTEMISIA ANNUA
9340,AMORPHA VERRUCOSA WHOLE,CYPERUS ROTUNDUS
9341,BRASSICA CAMPESTRIS WHOLE,CALLICARPA AMERICANA
9342,JUNIPERUS COMMUNIS [WHO-DD],VERBASCUM THAPSUS
9343,RHEUM ACUMINATUM WHOLE,PELTANDRA VIRGINICA
9344,PINUS ROYLEANA WHOLE,CIRSIUM ERIOPHORUM
9345,ROSA MACROACANTHA WHOLE,ROBINIA PSEUDOACACIA
9346,ABIES NOBILIS WHOLE,GLYCYRRHIZA GLABRA
9347,HIPPOCENTAUREA INAPERTA WHOLE,EPIMEDIUM GRANDIFLORUM
9348,HYGROPHILA COSTATA WHOLE,RHYNCHOSTYLIS RETUSA
9349,STEVIA,MIRABILIS JALAPA
9350,SOJA ANGUSTIFOLIA WHOLE,PONTEDERIA CORDATA
9351,GALLITRICHUM VIRGATUM WHOLE,JUGLANS REGIA
9352,ARISTOLOCHIA FIMBRIATA,FRAXINUS AMERICANA
9353,PSEUDOGNAPHALIUM OBTUSIFOLIUM,CLADIUM MARISCUS
9354,MARRUBIUM GERMANICUM WHOLE,ESCHSCHOLZIA CALIFORNICA
9355,HERB-OF-GRACE WHOLE,RAPHANUS RAPHANISTRUM
9356,ALLIUM AMPELOPRASUM [WHO-DD],BRASSICA RAPA
9357,YAN SUI WHOLE,GALEGA OFFICINALIS
9358,RICINUS MESSENIACUS WHOLE,DESMODIUM GLUTINOSUM
9359,DRYOBALANOPS SUMATRENSIS WHOLE,REYNOUTRIA MULTIFLORA
9360,ERYTHRINA ABYSSINICA WHOLE,NYMPHAEA ODORATA
9361,BERBERIS VULGARIS L.,CAPSELLA BURSA-PASTORIS
9362,CORYDALIS RACEMOSA WHOLE,JUGLANS REGIA
9363,DIPTEROCARPUS DRYOBALANOPS WHOLE,TRAMETES VERSICOLOR
9364,ATRACTYLODES MACROCEPHALA [WHO-DD],LEPIDIUM MEYENII
9365,VACCINIUM MUCRONATUM WHOLE,TUSSILAGO FARFARA
9366,SCUTELLARIA LATERIFLORA [WHO-DD],VICIA SATIVA
9367,SALVIA BARRELIERI WHOLE,CAPSELLA BURSA-PASTORIS
9368,SAND BLACKBERRY WHOLE,ESCHSCHOLZIA CALIFORNICA
9369,MAERUA CRASSIFOLIA WHOLE,ASPARAGUS SETACEUS
9370,MATRICARIA CHAMOMILLA WHOLE,ALECTRA SESSILIFLORA
9371,SOJA ANGUSTIFOLIA WHOLE,MORELLA CERIFERA
9372,GALLITRICHUM ANGLICUM WHOLE,ARTEMISIA ANNUA
9373,ANDROPOGON VIRGINICUS,SOLANUM AMERICANUM
9374,TECOMA EXIMIA WHOLE,ARUM ITALICUM
9375,OLIVE [HOC],GLYCYRRHIZA INFLATA
9376,ALECTRA IBITYENSIS WHOLE,BRASSICA RAPA
9377,GLADIOLUS LEPTOPHYLLUS WHOLE,CAPSELLA BURSA-PASTORIS
9378,MAGNOLIA CATHAYANA WHOLE,URTICA DIOICA
9379,MORUS PENSYLVANICA WHOLE,FERULA SINKIANGENSIS
9380,CAPPARIS MURRAYI WHOLE,BERBERIS VULGARIS
9381,BERBERIS SYLVESTRIS WHOLE,BRASSICA NIGRA
9382,BUCHU (AGATHOSMA BETULINA) [HOC],JATROPHA CURCAS
9383,SALIX YUHKII WHOLE,DICHORISANDRA HEXANDRA
9384,KILI'O'OPU WHOLE,CINNAMOMUM BURMANNI
9385,SOLEA MONTANA WHOLE,RANUNCULUS ACRIS
9386,RANUNCULUS SICULUS WHOLE,MACA
9387,VERONICA HORTENSIS WHOLE,HYPERICUM PERFORATUM
9388,ACHILLEA POLYPHYLLA WHOLE,VICIA SATIVA
9389,WILD TURNIP WHOLE,HANDROANTHUS HEPTAPHYLLUS
9390,ACACIA SALIGNA,SAMBUCUS EBULUS
9391,CYCLAMEN SUBHASTATUM WHOLE,SESELI LIBANOTIS
9392,LYCIUM BARBARUM WHOLE,LONICERA JAPONICA
9393,YELLOW OX-EYE DAISY WHOLE,SOLANUM LINNAEANUM
9394,CRATAEGUS PALMSTRUCHII WHOLE,ERIOBOTRYA JAPONICA
9395,ILEX PARAGUARIENSIS WHOLE,PAPAVER RHOEAS
9396,CHRYSEIS TENUIFOLIA WHOLE,ECHINACEA
9397,AESCULUS VERSICOLOR WHOLE,ASCLEPIAS INCARNATA
9398,BLACK CHOKECHERRY WHOLE,CLEMATIS VILLOSA
9399,COMBRETUM SPLENDENS WHOLE,TOONA SINENSIS
9400,TILIA AMERICANA L.,HYPERICUM HYPERICOIDES
9401,COMMON POKEWEED WHOLE,CLUSIA FLAVA
9402,ROMERO WHOLE,CAPSELLA BURSA-PASTORIS
9403,EUROPEAN HONEYSUCKLE WHOLE,PSEUDOGNAPHALIUM STRAMINEUM
9404,ANDROPOGON LITTORALIS WHOLE,PTERIDIUM AQUILINUM
9405,CLAVARIA MILITARIS WHOLE,COLLINSIA PARVIFLORA
9406,CNICUS BENEDICTUS L.,PINUS NIGRA
9407,ANEMOPSIS CALIFORNICA WHOLE,SALVIA VERBENACA
9408,INULA HELENIUM [WHO-DD],CITRUS AURANTIUM
9409,JUSSIAEA ACUMINATA WHOLE,CNIDOSCOLUS URENS
9410,RUBUS LATENS WHOLE,SCHIZACHYRIUM SCOPARIUM
9411,MITRACARPUS SENEGALENSIS WHOLE,RUBUS FLAGELLARIS
9412,PINUS KESIYA VAR. KESIYA [WHO-DD],SENNA OCCIDENTALIS
9413,LACTUCA CAVALERIEI WHOLE,ERYTHRINA ABYSSINICA
9414,CAPSELLA LATA WHOLE,ARUNDO DONAX
9415,ESCHSCHOLZIA LEUCOSTICTA WHOLE,CHAMOMILE
9416,SMILAX GLABRA [WHO-DD],COMBRETUM MOLLE
9417,VITEX PACHYPHYLLA WHOLE,MITRACARPUS HIRTUS
9418,CASSIA CAROLINIANA WHOLE,OXYRIA DIGYNA
9419,FICUS POLYMORPHA WHOLE,AMBROSIA ARTEMISIIFOLIA
9420,CASTANEA PUMILA (L.) MILL.,RUBUS ALLEGHENIENSIS
9421,EGYPTIAN SESBAN WHOLE,DRIMA MARITIMA
9422,ACHILLEA ODORATA WHOLE,TRIGONELLA CORNICULATA
9423,FRAXINUS MACROPHYLLA WHOLE,MORINDA CITRIFOLIA
9424,BACTRIS MAJOR JACQ.,TANG-KUEI
9425,HERCULE'S CLUB WHOLE,SESBANIA SESBAN
9426,SALIX HOUSTONIANA WHOLE,CAPSELLA BURSA-PASTORIS
9427,SILENE SAPONARIA WHOLE,ELEUTHEROCOCCUS SENTICOSUS
9428,SENNA ITALICA [WHO-DD],SENNA ALEXANDRINA
9429,GALIUM CHAROIDES WHOLE,FOENICULUM VULGARE
9430,CAPSELLA GOTHICA WHOLE,SPARTIUM JUNCEUM
9431,DIOSPYROS DISTYLA WHOLE,VACCINIUM PALLIDUM
9432,PODALYRIA ALBA WHOLE,LINARIA VULGARIS
9433,DOLICHOS SOJA WHOLE,ALOCASIA MACRORRHIZOS
9434,SOLIDAGO HIRSUTISSIMA WHOLE,CINNAMOMUM BURMANNI
9435,ACTAEA RACEMOSA,RUBUS TRIVIALIS
9436,WARBURGIA UGANDENSIS WHOLE,TURNERA DIFFUSA
9437,ISCHNODERMA HELVEOLUM WHOLE,CASTILLEJA MINIATA
9438,ATRACTYLIS CHINENSIS WHOLE,SASSAFRAS ALBIDUM
9439,RUBUS LONGIPES WHOLE,REYNOUTRIA MULTIFLORA
9440,ERODIUM MALACOIDES,SISYMBRIUM OFFICINALE
9441,SILER DIVARICATUM WHOLE,RHYNCHOSTYLIS RETUSA
9442,CRATAEGUS SONGARICA WHOLE,PASSIFLORA EDULIS
9443,MORUS ZANTHOXYLON WHOLE,SOLANUM LINNAEANUM
9444,UNA-DE-GATO WHOLE,MAGNOLIA VIRGINIANA
9445,PRUNUS PERSICA,RHEUM AUSTRALE
9446,PAPAVER HORTENSE WHOLE,VACCINIUM PALLIDUM
9447,ULMUS SUBEROSA WHOLE,SCOLYMUS HISPANICUS
9448,CASSIA LANCEOLATA WHOLE,MITRACARPUS HIRTUS
9449,EUGENIA DYSANTHA WHOLE,MITRACARPUS HIRTUS
9450,SONCHUS OLERACEUS WHOLE,TILLANDSIA USNEOIDES
9451,SACCOLABIUM RHEEDEI WHOLE,NEPETA CATARIA
9452,RIVINA PURPURASCENS WHOLE,NYMPHAEA ODORATA
9453,SIDA ANGUSTIFOLIA WHOLE,MYRTUS COMMUNIS
9454,OXYACANTHA APIIFOLIA WHOLE,RICINUS COMMUNIS
9455,ST. ANDREW'S CROSS WHOLE,ZANTHOXYLUM ARMATUM
9456,EUGENIA MACARENSIS WHOLE,DIPLOTAXIS TENUIFOLIA
9457,GARDENIA MEDICINALIS WHOLE,CAPSELLA BURSA-PASTORIS
9458,OXALIS AMERICANA WHOLE,CAPSELLA BURSA-PASTORIS
9459,LIGUSTICUM LEVISTICUM WHOLE,SAPONARIA OFFICINALIS
9460,CADELIUM VIRIDE WHOLE,COMBRETUM MOLLE
9461,ACACIA DEALBATA WHOLE,SERENOA REPENS
9462,GIRALDIA STAPFII WHOLE,CENTAURIUM ERYTHRAEA
9463,NAUCLEA SURINAMENSIS WHOLE,RANUNCULUS ACRIS
9464,SAMBUCUS EBULUS [WHO-DD],TRAMETES VERSICOLOR
9465,PSYCHOTRIA CHRYSORHIZA WHOLE,SCUTELLARIA LATERIFLORA
9466,ESCHSCHOLZIA MARITIMA WHOLE,SMILAX GLABRA
9467,PLANTAGO ARISTATA MICHX.,SAMBUCUS EBULUS
9468,PELTANDRA CANADENSIS WHOLE,CITRUS AURANTIUM
9469,EQUISETUM ARVENSE,MENTHA PULEGIUM
9470,LIBANOTIS MAJOR WHOLE,CURCUMA LONGA
9471,ILLECEBRUM ITALICUM WHOLE,IRIS VIRGINICA
9472,BAUHINIA CONFUSA WHOLE,ORIGANUM SYRIACUM
9473,RHEUM POTANINII WHOLE,INULA HELENIUM
9474,COMMON OREGANO,CAPSELLA BURSA-PASTORIS
9475,FIELD SCABIOSA WHOLE,PINUS ECHINATA
9476,BALLOTA NIGRA [WHO-DD],ANEMOPSIS CALIFORNICA
9477,CANDELILLA WHOLE,TOONA SINENSIS
9478,NEUROLAENA INTEGRIFOLIA WHOLE,CODONOPSIS PILOSULA
9479,WALL GERMANDER WHOLE,TANG-KUEI
9480,FICUS ALBESCENS WHOLE,EUPATORIUM JAPONICUM
9481,ALLIUM ASCENDENS WHOLE,ASTRAGALUS MONSPESSULANUS
9482,SICILIAN BROAD-RIB BEET,SESBANIA SESBAN
9483,KITCHEN SAGE WHOLE,MORINGA
9484,SENNA ACUTIFOLIA WHOLE,ACER RUBRUM
9485,QUERCUS NOBILIS WHOLE,TANACETUM VULGARE
9486,SMILAX BEYRICHII WHOLE,ANDROPOGON VIRGINICUS
9487,INDIAN SENNA WHOLE,SCHIZACHYRIUM SCOPARIUM
9488,DANDELION WHOLE,COPTIS CHINENSIS
9489,MEXICAN MINT WHOLE,CAPSELLA BURSA-PASTORIS
9490,CHI GENG TENG WHOLE,MORINDA CITRIFOLIA
9491,CROTON SPINOSUS WHOLE,RUTA CHALEPENSIS
9492,ASCYRUM PLUMIERI WHOLE,LEPIDIUM DRABA
9493,GYMNEMA KHANDALENSE WHOLE,MITCHELLA REPENS
9494,ESCHSCHOLZIA APICULATA WHOLE,CYANTHILLIUM CINEREUM
9495,MEDICAGO GRACILLIMA WHOLE,FUMARIA OFFICINALIS
9496,LINARIA ELONGATA WHOLE,SALVIA OFFICINALIS
9497,MAMMEA AMERICANA WHOLE,GALIUM APARINE
9498,SOLANUM GANCHOUENENSE WHOLE,CORIANDRUM SATIVUM
9499,CISTUS VULGARIS WHOLE,RUBUS TRIVIALIS
9500,TILIA STENOPETALA WHOLE,STACHYS MEXICANA
9501,SMILAX AURICULATA WHOLE,PSEUDOTSUGA MENZIESII
9502,LINUM USITATISSIMUM,ESCHSCHOLZIA CALIFORNICA
9503,MORUS DIOICA WHOLE,CYMBOPOGON SCHOENANTHUS
9504,POGOSTEMON SUAVIS WHOLE,CAPSELLA BURSA-PASTORIS
9505,MUGO PINE WHOLE,DAPHNE OLEOIDES
9506,BERBERIS COCCINEA WHOLE,ACHILLEA NOBILIS
9507,VITIS INSERTA WHOLE,CASTANEA SATIVA
9508,PEUMUS FRAGRANS WHOLE,JUGLANS REGIA
9509,MENTHA SPICATA,CINNAMON
9510,TRUMPET VINE WHOLE,HYLOTELEPHIUM TELEPHIUM
9511,POOR MAN'S GINSENG WHOLE,TYPHA LATIFOLIA
9512,AMPHIDONAX BENGALENSIS WHOLE,JATROPHA CURCAS
9513,CARYA COMPRESSA WHOLE,APIUM GRAVEOLENS
9514,QUERCUS PSEUDOCERRIS WHOLE,CYANTHILLIUM CINEREUM
9515,SOLANUM SCHULTESII WHOLE,COMBRETUM MOLLE
9516,NASTURTIASTRUM VIRGINICUM WHOLE,GALIUM APARINE
9517,LIQUIDAMBAR BARBATA WHOLE,EUPHORBIA OFFICINARUM
9518,COLLOMIA LINEARIS WHOLE,SALIX BABYLONICA
9519,BOLETUS FULVUS WHOLE,CANTINOA AMERICANA
9520,RUBUS SAILORI WHOLE,EQUISETUM HYEMALE
9521,DILATRIS CAROLINIANA WHOLE,APIUM GRAVEOLENS
9522,ROSA CALENDARUM WHOLE,GLYCYRRHIZA INFLATA
9523,YASHTIMADHU WHOLE,HYLOTELEPHIUM TELEPHIUM
9524,SONCHUS ROSEUS WHOLE,ANTHYLLIS VULNERARIA
9525,CORDIA DENTATA POIR.,PONTEDERIA CORDATA
9526,PTERONIA TOMENTOSA WHOLE,JUNCUS TORREYI
9527,BALMEDA CORYLIFOLIA WHOLE,LEPIDIUM VIRGINICUM
9528,BOLETUS NITENS WHOLE,HYPERICUM HYPERICOIDES
9529,GALIUM APARINE L.,ERYNGIUM FOETIDUM
9530,TYPHA BROWNII WHOLE,PONTEDERIA CORDATA
9531,ERYNGIUM FOETIDUM WHOLE,QUERCUS NIGRA
9532,PRUNUS ARMENIACA,CORYDALIS BUNGEANA
9533,PROTASPARAGUS JACQUEMONTII WHOLE,SALIX TRIANDRA
9534,GLADIOLUS CORNEUS WHOLE,CAPSELLA BURSA-PASTORIS
9535,ORCHIS PSYCODES WHOLE,TANACETUM VULGARE
9536,ALLIUM ADSCENDENS WHOLE,SILENE LATIFOLIA
9537,SOLANUM DEPILATUM WHOLE,CAPSELLA BURSA-PASTORIS
9538,FICUS DAWEI WHOLE,ERUCA VESICARIA
9539,CHIRONIA CENTAURIUM WHOLE,PHYTOLACCA AMERICANA
9540,ASCLEPIAS PULCHELLA WHOLE,PEUMUS BOLDUS
9541,CYCLAMEN AEDIRHIZUM WHOLE,ALCEA ROSEA
9542,HYSSOP WHOLE,PERSICARIA MACULOSA
9543,ABIES CHLOROCARPA WHOLE,SALVIA VERBENACA
9544,MARRUBIUM APULUM WHOLE,PANAX GINSENG
9545,PERIPLOCA SYLVESTRIS WHOLE,FOENICULUM VULGARE
9546,TARAXACUM DENS-LEONIS WHOLE,ARISTOLOCHIA RUGOSA
9547,UNGULINA MARGINATA WHOLE,PELTANDRA VIRGINICA
9548,PEUCE RUBRA WHOLE,AESCULUS HIPPOCASTANUM
9549,TRICHERA TIMEROYI WHOLE,CORNUS OFFICINALIS
9550,SMOOTHLEAF ELM WHOLE,ILEX OPACA
9551,MORUS RUBRA L.,STACHYS TENUIFOLIA
9552,CIRSIUM INSUBRICUM WHOLE,FILIPENDULA ULMARIA
9553,ANISOCALYX LIMNANTHIFLORUS WHOLE,CARTHAMUS LANATUS
9554,SWAN RIVER WHALER SHARK WHOLE,SESELI LIBANOTIS
9555,SALVIA SPIELMANNIANA WHOLE,SALIX NIGRA
9556,DITRYSINIA LIGUSTRINA WHOLE,MORELLA CERIFERA
9557,DIPSACUS DIVARICATUS WHOLE,GLAUCIUM FLAVUM
9558,COMMON ONION WHOLE,ASCLEPIAS CURASSAVICA
9559,CHINESE GOLDTHREAD WHOLE,PLATANTHERA PSYCODES
9560,CARTHAMUS ALBUS WHOLE,CAPSELLA BURSA-PASTORIS
9561,FAGUS FERRUGINEA WHOLE,BACOPA MONNIERI
9562,PLATANUS EXCELSA WHOLE,MATRICARIA CHAMOMILLA
9563,TRICHERA BOHEMICA WHOLE,ALOCASIA MACRORRHIZOS
9564,CIPO CABELUNDO WHOLE,PINUS KESIYA
9565,CYPERUS NUBICUS WHOLE,EQUISETUM ARVENSE
9566,RANUNCULUS ACRIS,ATRIPLEX NUMMULARIA
9567,ASTRAGALUS MONSPESSULANUS L.,FICUS CARICA
9568,VERBASCUM SINUATUM WHOLE,EMILIA SONCHIFOLIA
9569,AWL TREE WHOLE,SENNA
9570,FERULA COMMUNIS [WHO-DD],SOLANUM AMERICANUM
9571,CASTILLEJA TWEEDYI WHOLE,DACTYLORHIZA INCARNATA
9572,JUGLANS RUBRA WHOLE,MOMORDICA COCHINCHINENSIS
9573,COMBRETUM GONDENSE WHOLE,CITRUS AURANTIUM
9574,SAMBUCUS LACINIATA WHOLE,MAGNOLIA GRANDIFLORA
9575,GNAPHALIUM POLYCEPHALUM WHOLE,ILEX CRENATA
9576,BUNGE CORYDALIS WHOLE,ROSA CANINA
9577,DYCTISPERMA RIGIDUS WHOLE,HARUNGANA MADAGASCARIENSIS
9578,ARTEMISIA ARGENTEA WHOLE,FRAXINUS AMERICANA
9579,ORCHIS FISTULATA WHOLE,SENNA ALEXANDRINA
9580,YELLOW LOCUST WHOLE,STERCULIA URENS
9581,EDIBLE FIG WHOLE,ROSA DAMASCENA
9582,CARDAMOMUM AROMATICUM WHOLE,RHYNCHOSTYLIS RETUSA
9583,COMMON MATRIMONYVINE WHOLE,BACOPA MONNIERI
9584,CAPSELLA ALANDICA WHOLE,MEUM ATHAMANTICUM
9585,FOREST BITTERBERRY WHOLE,CEDRUS LIBANI
9586,DIOSCOREA VILLOSA WHOLE,SPHYRNA LEWINI
9587,DEVIL'S CLUB WHOLE,AFROLICANIA ELAEOSPERMA
9588,LYCIUM FLORIDUM WHOLE,ERYTHRINA CRISTA-GALLI
9589,KOREAN RED GINSENG,URENA LOBATA
9590,ASTRAGALUS MONSPESSULANUS WHOLE,PASSIFLORA EDULIS
9591,EUGENIA HARTII WHOLE,ALOE VERA
9592,JAPANESE HOLLY WHOLE,KNAUTIA ARVENSIS
9593,ARTOCARPUS ALTILIS (PARKINSON EX F.A.ZORN) FOSBERG,SPERMACOCE VERTICILLATA
9594,SCHIZONEPETA TENUIFOLIA WHOLE,LENS CULINARIS
9595,ROSA SEPARABILIS WHOLE,PSEUDOGNAPHALIUM STRAMINEUM
9596,EPIMEDIUM PUBESCENS,CENTROSEMA VIRGINIANUM
9597,SENNA OCCIDENTALIS WHOLE,PSEUDARTHRIA HOOKERI
9598,PHILODENDRON PUNCTATUM WHOLE,ROSA CANINA
9599,TEPHROSIA VIRGINIANA,COLA NITIDA
9600,PARIETARIA JAXARTICA WHOLE,NIU BANG ZI
9601,MARRUBIUM VULGARE,HEMP EXTRACT
9602,OXALIS ACETOSELLA L.,GARCINIA
9603,TVAK,RHYNCHOSTYLIS RETUSA
9604,FUMARIA CIRRHATA WHOLE,OXALIS ACETOSELLA
9605,COMMON COMFREY WHOLE,TURMERIC
9606,TRIBULUS,ZIZANIA AQUATICA
9607,CELTIS LAEVIGATA WHOLE,ULMUS MINOR
9608,SCABIOSA CAMPESTRIS WHOLE,TYPHA LATIFOLIA
9609,RUBUS CORDIALIS WHOLE,DRIMA MARITIMA
9610,VALERIANA ALBA WHOLE,MEUM ATHAMANTICUM
9611,ORIGANUM SALVIFOLIUM WHOLE,PETROSELINUM CRISPUM
